id,quote
26925138083,
26924613048,
26885291769,
26885243964,
26885211515,
26885537217,
26885947079,
26885368683,
26885569939,
26885572944,
26885226852,
26885256293,
26885299419," If two or more persons in any State or Territory, or in any place subject to the jurisdiction of the United States, conspire to overthrow, put down, or to destroy by force the Government of the United States, or to levy war against them, or to oppose by force the authority thereof, or by force to prevent, hinder, or delay the execution of any law of the United States, or by force to seize, take, or possess any property of the United States contrary to the authority thereof, they shall each be fined or imprisoned not more than 20 years, or both."
26885219100,
26885220319,
26885271321,
26885185365,
26885280148,
26885469527,
26885832499,
100625229,
26885220809,
26885280590,
26885203851,
26885541297,
26885404037,
26885219074,
26885181793,
26885207857,
26885236875,
26885267703,
26885276530,
26885279084,
26885286234, Tea party Republicans blame Obama for the shutdown they planned
26885288550,
26885289630,
26885296312,
26885300925,
26885307729,
26885310859,
26885314776,
26885320906,
26885320902,
26885326562,
26885327239,
26885333391,
26885333663,
26885340367,
26885341826,
26885345225,
26885348027,
26885348216,
26885363809,
26885365087,
26885367249,
26885369634,
26885379369,
26885380466,
26885382794,
26885383441,
26885384137,
26885385139,
26885387685,
26885388833,
26885389542,
26885390822,
26885393273,
26885393673,
26885394430,
26885397023,
26885397580,
26885398701,
26885398813,
26885400347,
26885402443,
26885403806,
26885405645,
26885407842,
26885413027,
26885413445,
26885415281,
26885415431,
26885416515,
26885416826,
26885416912,
26885418349,
26885419216,
26885422036,
26885422104,
26885422322,
26885425758,
26885425801,
26885428588,
26885428791,
26885429846,
26885430308, Tea party Republicans blame Obama for everything.
26885430325,
26885430317,
26885432347,
26885435160,
26885435810,
26885439459,
26885439604,
26885439871,
26885442481,
26885442634,
26885448068,
26885451521,
26885452010,
26885453673,
26885454597,
26885455188,
26885458251,
26885465553,
26885466891,
26885466923,
26885467607,
26885469258,
26885471266,
26885473787,
26885473961,
26885474886,
26885477725,
26885478378,
26885479503,
26885482073,
26885482159,
26885482636,
26885484207,
26885484441,
26885487798,
26885488312,
26885490649,
26885492466,
26885492681,
26885492714,
26885492905,
26885494659,
